instanceName,algorithmName,noRuns,runningTime,minScore,avgScore,maxScore,stdDev,initialSolutionScore
ch130,SteepestAlgorithm,300,16754,6228,6558.26,6990,139.624,45760
ch130,GreedyAlgorithm,300,10950,9700,12292.3,17315,1328.29,45760
ch130,HeuristicAlgorithm,300,211,7198,7723.73,8644,361.645,45760
ch130,RandomAlgorithm,300,11101,41483,46120.9,51890,1623.76,45760
ch130,RandomWalkAlgorithm,300,11100,9295,11264.3,13921,752.286,45760
kroA100,SteepestAlgorithm,300,7621,21470,22726.3,24429,608.153,172307
kroA100,GreedyAlgorithm,300,4892,33160,42487.6,63150,4780.91,172307
kroA100,HeuristicAlgorithm,300,125,24698,27064.1,28694,823.739,172307
kroA100,RandomAlgorithm,300,5100,146392,170343,194245,8479.16,172307
kroA100,RandomWalkAlgorithm,300,5100,31273,40936.3,52879,3441.22,172307
kroC100,SteepestAlgorithm,300,7628,21042,22295.6,24738,643.067,172324
kroC100,GreedyAlgorithm,300,4842,33202,42390.7,62765,4953.21,172324
kroC100,HeuristicAlgorithm,300,129,23566,26203.7,29393,1468.05,172324
kroC100,RandomAlgorithm,300,5100,140961,169993,195322,9018.3,172324
kroC100,RandomWalkAlgorithm,300,5100,31096,40567.7,51344,3472.82,172324
kroD100,SteepestAlgorithm,300,7343,21556,22830,24664,614.993,153240
kroD100,GreedyAlgorithm,300,4698,31095,42458.2,62664,4840.11,153240
kroD100,HeuristicAlgorithm,300,122,24855,27392.8,29998,1187.82,153240
kroD100,RandomAlgorithm,300,4800,145930,162916,185381,6973.57,153240
kroD100,RandomWalkAlgorithm,300,4800,29024,39840.1,52649,3275.43,153240
lin105,SteepestAlgorithm,300,8675,14406,15319,16492,393.825,124069
lin105,GreedyAlgorithm,300,5729,22495,30089.8,46454,3788.21,124069
lin105,HeuristicAlgorithm,300,176,16939,18643.4,20590,988.471,124069
lin105,RandomAlgorithm,300,6000,108646,123607,138552,6140.39,124069
lin105,RandomWalkAlgorithm,300,6000,22209,29214.7,39448,2538.17,124069
pr76,SteepestAlgorithm,300,3090,108304,113833,121425,2593.26,555168
pr76,GreedyAlgorithm,300,1792,158758,196877,268306,18668.9,555168
pr76,HeuristicAlgorithm,300,87,130921,146666,157076,7482.68,555168
pr76,RandomAlgorithm,300,1800,512545,576627,650838,26539.1,555168
pr76,RandomWalkAlgorithm,300,1800,139799,170857,205636,11771.7,555168
a280,SteepestAlgorithm,300,174597,2752,2890.39,3052,57.8149,34527
a280,GreedyAlgorithm,300,138293,4844,5943.25,8273,589.518,34527
a280,HeuristicAlgorithm,300,976,3113,3309.84,3607,125.5,34527
a280,RandomAlgorithm,300,138302,31396,34132.6,37074,995.854,34527
a280,RandomWalkAlgorithm,300,138301,5507,6305.51,7557,382.534,34527
