instanceName,algorithmName,noRuns,runningTime,minScore,avgScore,maxScore,stdDev,initialSolutionScore
ch130,SteepestAlgorithm,300,8389,6281,6572.16,7120,152.386,43936
ch130,GreedyAlgorithm,300,14079,6365,6736.78,7209,161.864,43936
ch130,HeuristicAlgorithm,300,59,7198,7694.79,8644,343.578,43936
ch130,RandomAlgorithm,300,14100,37441,39307.7,40378,483.535,43936
ch130,RandomWalkAlgorithm,300,14100,9748,11269.8,13026,713.493,43936
kroA100,SteepestAlgorithm,300,3684,21294,22772.1,25076,660.145,188737
kroA100,GreedyAlgorithm,300,6155,21545,23348.9,25356,717.981,188737
kroA100,HeuristicAlgorithm,300,36,24698,27123.2,28694,829.901,188737
kroA100,RandomAlgorithm,300,6300,128579,138277,143938,2435.74,188737
kroA100,RandomWalkAlgorithm,300,6300,31391,40894.7,51629,3385.97,188737
kroC100,SteepestAlgorithm,300,3738,20866,22366.3,24494,666.525,182703
kroC100,GreedyAlgorithm,300,6102,21242,22974.3,25439,736.835,182703
kroC100,HeuristicAlgorithm,300,36,23566,26176.8,29393,1520.13,182703
kroC100,RandomAlgorithm,300,6300,128803,136913,142367,2542.08,182703
kroC100,RandomWalkAlgorithm,300,6300,32785,40603.7,53718,3336.37,182703
kroD100,SteepestAlgorithm,300,3619,21736,22879.3,24540,538.973,166563
kroD100,GreedyAlgorithm,300,6120,21599,23364.7,25394,637.105,166563
kroD100,HeuristicAlgorithm,300,36,24855,27513.2,29998,1157.66,166563
kroD100,RandomAlgorithm,300,6300,124349,132667,137520,2441.41,166563
kroD100,RandomWalkAlgorithm,300,6300,31315,39862.5,51464,3284.07,166563
lin105,SteepestAlgorithm,300,4365,14495,15321.8,16536,397.72,126688
lin105,GreedyAlgorithm,300,7399,14488,15781.7,17600,509.34,126688
lin105,HeuristicAlgorithm,300,41,16939,18653.3,20590,1002.84,126688
lin105,RandomAlgorithm,300,7500,92447,99688.5,103127,1843.63,126688
lin105,RandomWalkAlgorithm,300,7500,22102,29120.5,38081,2507.16,126688
pr76,SteepestAlgorithm,300,1509,109143,113641,126248,2757.08,605779
pr76,GreedyAlgorithm,300,2400,110009,115091,126160,2958.09,605779
pr76,HeuristicAlgorithm,300,22,130921,147708,157076,6590.28,605779
pr76,RandomAlgorithm,300,2400,437621,471437,490380,9341.69,605779
pr76,RandomWalkAlgorithm,300,2400,141645,170788,205011,11220.9,605779
a280,SteepestAlgorithm,300,88334,2737,2900.39,3080,52.4919,34836
a280,GreedyAlgorithm,300,165420,2779,2990.07,3179,63.1844,34836
a280,HeuristicAlgorithm,300,239,3113,3317.81,3607,120.614,34836
a280,RandomAlgorithm,300,165601,28556,29802.8,30268,266.428,34836
a280,RandomWalkAlgorithm,300,165601,5338,6315.55,7627,396.109,34836
lin318,SteepestAlgorithm,300,145977,43773,45473.4,47909,736.656,589225
lin318,GreedyAlgorithm,300,265612,44440,47239.6,50873,917.15,589225
lin318,HeuristicAlgorithm,300,350,49215,52546.2,58862,1286.82,589225
lin318,RandomAlgorithm,300,265802,500442,522563,529897,3906.16,589225
lin318,RandomWalkAlgorithm,300,265801,92464,110320,130081,6682.09,589225
