instanceName,algorithmName,noRun,score,noEvaluations,noSteps,initialSolutionScore
ch130,SteepestAlgorithm,0,6596,1172210,141,43936.5
ch130,SteepestAlgorithm,1,6409,1155700,139,47278.2
ch130,SteepestAlgorithm,2,6738,1122680,135,46223.5
ch130,SteepestAlgorithm,3,6378,1163955,140,47463.4
ch130,SteepestAlgorithm,4,6966,1073150,129,46764.6
ch130,SteepestAlgorithm,5,6649,1147445,138,48312.3
ch130,SteepestAlgorithm,6,6605,1106170,133,45640.4
ch130,SteepestAlgorithm,7,6732,1205230,145,47432.1
ch130,SteepestAlgorithm,8,6355,1155700,139,48233.7
ch130,SteepestAlgorithm,9,6516,1048385,126,48125.1
ch130,SteepestAlgorithm,10,6665,1139190,137,45770.4
ch130,SteepestAlgorithm,11,6418,1155700,139,49622.3
ch130,SteepestAlgorithm,12,6557,1114425,134,45356
ch130,SteepestAlgorithm,13,6763,1163955,140,47127
ch130,SteepestAlgorithm,14,6318,1221740,147,46979.1
ch130,SteepestAlgorithm,15,6431,1147445,138,44460
ch130,SteepestAlgorithm,16,6503,1048385,126,49790.1
ch130,SteepestAlgorithm,17,6687,1213485,146,47666.7
ch130,SteepestAlgorithm,18,6581,1163955,140,45066.7
ch130,SteepestAlgorithm,19,6436,1188720,143,49477.3
ch130,SteepestAlgorithm,20,6738,1073150,129,47346.7
ch130,SteepestAlgorithm,21,6682,1172210,141,46244.3
ch130,SteepestAlgorithm,22,6531,1205230,145,49338.4
ch130,SteepestAlgorithm,23,6871,1089660,131,41475.1
ch130,SteepestAlgorithm,24,6800,1172210,141,45014.6
ch130,SteepestAlgorithm,25,6523,1163955,140,45040.6
ch130,SteepestAlgorithm,26,6636,1130935,136,49093.7
ch130,SteepestAlgorithm,27,6607,1155700,139,47707.8
ch130,SteepestAlgorithm,28,6309,1229995,148,46374
ch130,SteepestAlgorithm,29,6421,1213485,146,48872.8
ch130,SteepestAlgorithm,30,6415,1114425,134,44090.6
ch130,SteepestAlgorithm,31,6843,1106170,133,47892.2
ch130,SteepestAlgorithm,32,6420,1130935,136,47401.3
ch130,SteepestAlgorithm,33,6593,1172210,141,46886.9
ch130,SteepestAlgorithm,34,6833,1122680,135,43397.7
ch130,SteepestAlgorithm,35,6627,1114425,134,45586.7
ch130,SteepestAlgorithm,36,6466,1188720,143,45319.7
ch130,SteepestAlgorithm,37,6744,1263015,152,48090.6
ch130,SteepestAlgorithm,38,6765,1122680,135,48309.1
ch130,SteepestAlgorithm,39,6314,1114425,134,45496.1
ch130,SteepestAlgorithm,40,6622,1130935,136,48854.5
ch130,SteepestAlgorithm,41,6484,1163955,140,44520.2
ch130,SteepestAlgorithm,42,6398,1221740,147,45547.4
ch130,SteepestAlgorithm,43,6761,1180465,142,48664
ch130,SteepestAlgorithm,44,6570,1172210,141,46408.9
ch130,SteepestAlgorithm,45,6891,1089660,131,48671.1
ch130,SteepestAlgorithm,46,6378,1172210,141,44921.4
ch130,SteepestAlgorithm,47,6576,1114425,134,45685.4
ch130,SteepestAlgorithm,48,6574,1122680,135,48439.8
ch130,SteepestAlgorithm,49,6422,1188720,143,46974.2
ch130,SteepestAlgorithm,50,6509,1081405,130,43020.2
ch130,SteepestAlgorithm,51,6592,1221740,147,46083.3
ch130,SteepestAlgorithm,52,6612,1172210,141,48957.4
ch130,SteepestAlgorithm,53,6720,1130935,136,45108.1
ch130,SteepestAlgorithm,54,6590,1114425,134,46811.9
ch130,SteepestAlgorithm,55,6889,1064895,128,47433.9
ch130,SteepestAlgorithm,56,6348,1147445,138,47219.8
ch130,SteepestAlgorithm,57,6921,1048385,126,47770.1
ch130,SteepestAlgorithm,58,6322,1130935,136,43587
ch130,SteepestAlgorithm,59,6624,1089660,131,45936.7
