instanceName;algorithmName;noRuns;runningTime;minScore;avgScore;maxScore;stdDev;initialSolutionScore
ch130;GreedyAlgorithm;300;14533;6238;6712.68;7323;160.868;46193
ch130;RandomWalkAlgorithm;300;14701;-659631;48347.2;819661;231339;46193
ch130;GreedyAlgorithm;300;14421;6286;6737.54;7166;172.08;45730
ch130;GreedyAlgorithm;300;14459;6212;6723.19;7223;163.192;45183
ch130;GreedyAlgorithm;300;14685;6238;6734.05;7197;174.965;46246
ch130;RandomWalkAlgorithm;300;14734;39818;46292.3;51510;1684.11;46246
ch130;GreedyAlgorithm;300;14415;6346;6736.4;7214;161.17;42844
ch130;RandomWalkAlgorithm;300;14749;41978;46258.1;50587;1627.65;42844
ch130;GreedyAlgorithm;300;14479;6307;6731.21;7247;171.511;45932
ch130;RandomWalkAlgorithm;300;14734;42001;46316.5;50344;1520.43;45932
ch130;GreedyAlgorithm;300;14547;6328;6725.8;7244;168.02;47771
ch130;RandomWalkAlgorithm;300;14735;41589;46418.2;50925;1738.11;47771
