instanceName;algorithmName;noRuns;runningTime;minScore;avgScore;maxScore;stdDev;initialSolutionScore
ch130;SimulatedAnnealing;300;14662;6311;6725.73;7405;161.033;43155
kroA100;SimulatedAnnealing;300;6477;21365;23281.2;25588;807.437;168021
kroC100;SimulatedAnnealing;300;6470;21084;22941.4;25615;773.248;169936
kroD100;SimulatedAnnealing;300;6473;21585;23371.2;25489;675.379;165075
lin105;SimulatedAnnealing;300;7803;14464;15822.8;17531;552.073;114698
pr76;SimulatedAnnealing;300;2553;108645;115361;124579;3125.75;554332
a280;SimulatedAnnealing;300;169701;2829;2990.81;3147;64.2917;34431
lin318;SimulatedAnnealing;300;272866;44939;47204;49943;921.283;582418
ch130;SimulatedAnnealing;300;14893;6285;6726.93;7234;163.722;42874
kroA100;SimulatedAnnealing;300;6504;21530;23323.9;25748;800.682;176624
kroC100;SimulatedAnnealing;300;6582;21623;22984.7;24871;704.585;173571
kroD100;SimulatedAnnealing;300;6517;21795;23347.4;25059;618.484;157057
lin105;SimulatedAnnealing;300;7960;14582;15795.4;17169;462.046;126453
pr76;SimulatedAnnealing;300;2575;109551;115546;125234;3197.76;563591
a280;SimulatedAnnealing;300;172485;2799;2990.09;3161;63.3961;32811
lin318;SimulatedAnnealing;300;276837;45040;47330;49502;880.945;572494
